file_name,column_name,data_type,description,unit,allowed_values_or_range,missing_value_rule,notes
data/processed/phase5_deep_runtime_summary.csv,best_epoch,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,best_val_MAE,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,seconds,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,checkpoint,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_runtime_summary.csv,scaler_metadata,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,horizon_hours,int64,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/phase5_deep_vs_baseline_comparison.csv,SeasonalHistoricalAverage_MAE,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
